DateAdded,IoC,Type,TLP
21/07/2022,5b7ecf7e9d0715f1122baf4ce745c5fcd769dee48150616753fec4d6da16e99e,sha256,White
21/07/2022,45d8ac1ac692d6bb0fe776620371fca02b60cac8db23c4cc7ab5df262da42b78,sha256,White
21/07/2022,56925a1f7d853d814f80e98a1c4890b0a6a84c83a8eded34c585c98b2df6ab19,sha256,White
21/07/2022,830207029d83fd46a4a89cd623103ba2321b866428aa04360376e6a390063570,sha256,White
21/07/2022,458d258005f39d72ce47c111a7d17e8c52fe5fc7dd98575771640d9009385456,sha256,White
21/07/2022,99b0056b7cc2e305d4ccb0ac0a8a270d3fceb21ef6fc2eb13521a930cea8bd9f,sha256,White
21/07/2022,3b9fe1713f638f85f20ea56fd09d20a96cd6d288732b04b073248b56cdaef878,sha256,White
21/07/2022,87bdb1de1dd6b0b75879d8b8aef80b562ec4fad365d7abbc629bcfc1d386afa6,sha256,White
